# ----------------------------------------,,,,,
# Global Network,,,,,
# Search Reporting,,,,,
# 20171122-20171128,,,,,
# ----------------------------------------,,,,,
Browser,Search,Search Result Click,Search to Search Result Click Ratio,Apply Click,Search to Apply Click Ratio
Chrome,"9,187","16,069",1.75,"1,923",0.21
Safari,"2,388","1,413",0.59,397,0.17
Internet Explorer,"1,656",667,0.4,159,0.1
Edge,"1,492",777,0.52,270,0.18
Firefox,943,446,0.47,165,0.17
Opera,55,12,0.22,2,0.04
Samsung Internet,28,0,0,0,0
Android Webview,26,0,0,0,0
Amazon Silk,11,7,0.64,0,0
Android Browser,6,2,0.33,0,0
,"15,800","19,399",1.23,"2,916",0.18
Day Index,Search,,,,
11/22/17,"2,474",,,,
11/23/17,"1,448",,,,
11/24/17,"1,558",,,,
11/25/17,"1,518",,,,
11/26/17,"1,899",,,,
11/27/17,"3,336",,,,
11/28/17,"3,567",,,,
,"15,800",,,,